
      +------------------+
      |   id          x1 |
1410. | 1410   -1.386716 |
      |------------------|
1411. | 1411   -.6137756 |
1412. | 1412   -.8924405 |
1413. | 1413    .4314358 |
1414. | 1414   -.9381758 |
1415. | 1415   -.3497461 |
      |------------------|
1416. | 1416   -1.764632 |
1417. | 1417    1.547573 |
1418. | 1418    .0703818 |
1419. | 1419    .6335778 |
1420. | 1420    1.829755 |
      |------------------|
1421. | 1421   -.5681309 |
1422. | 1422    -.027989 |
1423. | 1423   -1.166623 |
1424. | 1424   -1.261602 |
1425. | 1425   -2.214793 |
      |------------------|
1426. | 1426    1.017996 |
1427. | 1427   -.6588258 |
1428. | 1428    1.376586 |
1429. | 1429   -.4805132 |
1430. | 1430    -1.20489 |
      |------------------|
1431. | 1431    -.027757 |
1432. | 1432    .0263564 |
1433. | 1433   -.3560872 |
1434. | 1434    .2008758 |
1435. | 1435   -.0088594 |
      |------------------|
1436. | 1436   -.8726962 |
1437. | 1437    1.142538 |
1438. | 1438    .4021802 |
1439. | 1439    .2013178 |
1440. | 1440   -.2286852 |
      |------------------|
1441. | 1441   -.9511046 |
1442. | 1442   -1.772168 |
1443. | 1443    .3490194 |
1444. | 1444   -.8097255 |
1445. | 1445    .2801835 |
      |------------------|
1446. | 1446    .4482108 |
1447. | 1447   -1.004863 |
1448. | 1448   -.6583469 |
1449. | 1449    .2505638 |
1450. | 1450    .9489368 |
      |------------------|
1451. | 1451    .3027368 |
1452. | 1452    -.878191 |
1453. | 1453   -.3453391 |
1454. | 1454    .3109246 |
1455. | 1455   -.6244926 |
      |------------------|
1456. | 1456     .651895 |
1457. | 1457   -2.425072 |
1458. | 1458    -.332841 |
1459. | 1459    1.369846 |
1460. | 1460   -.8201461 |
      |------------------|
1461. | 1461    .6040632 |
1462. | 1462   -.1878706 |
1463. | 1463   -.8900437 |
1464. | 1464    .4036472 |
1465. | 1465    .9711671 |
      |------------------|
1466. | 1466    .6727875 |
1467. | 1467    .4273632 |
1468. | 1468    .1194788 |
1469. | 1469    .1969966 |
1470. | 1470   -1.950999 |
      |------------------|
1471. | 1471   -1.967807 |
1472. | 1472    .1224271 |
1473. | 1473    .2120591 |
1474. | 1474    .0871391 |
1475. | 1475    -2.02832 |
      |------------------|
1476. | 1476   -.8190484 |
1477. | 1477   -.6508492 |
1478. | 1478    .9489768 |
1479. | 1479    .4255758 |
1480. | 1480    .4414164 |
      |------------------|
1481. | 1481    1.167278 |
1482. | 1482   -.4465376 |
1483. | 1483   -1.053795 |
1484. | 1484   -.4071701 |
1485. | 1485    1.042697 |
      |------------------|
1486. | 1486    .7075919 |
1487. | 1487   -1.278501 |
1488. | 1488    .7533413 |
1489. | 1489   -.7337914 |
1490. | 1490    .7547547 |
      |------------------|
1491. | 1491   -.3189748 |
1492. | 1492   -.6730891 |
1493. | 1493   -.1307665 |
1494. | 1494   -1.111866 |
1495. | 1495   -1.248906 |
      |------------------|
1496. | 1496   -.8223864 |
1497. | 1497    .6039361 |
1498. | 1498    .8045938 |
1499. | 1499   -.3811373 |
1500. | 1500    .5641518 |
      |------------------|
1501. | 1501    2.338687 |
1502. | 1502      .28767 |
1503. | 1503    .4272183 |
1504. | 1504    .1551882 |
1505. | 1505   -1.715719 |
      |------------------|
1506. | 1506   -1.955886 |
1507. | 1507   -.4277171 |
1508. | 1508   -.4060525 |
1509. | 1509   -1.611425 |
1510. | 1510   -.7068892 |
      |------------------|
1511. | 1511   -.0361523 |
1512. | 1512    .4514453 |
1513. | 1513   -.3454814 |
1514. | 1514   -.6817151 |
1515. | 1515    .5539433 |
      |------------------|
1516. | 1516   -1.364219 |
1517. | 1517   -1.366624 |
1518. | 1518    .4042247 |
1519. | 1519    .7577579 |
1520. | 1520    .4228638 |
      |------------------|
1521. | 1521   -.5744158 |
1522. | 1522   -.9505098 |
1523. | 1523    2.551636 |
1524. | 1524    .0619008 |
1525. | 1525    .8676301 |
      |------------------|
1526. | 1526    1.530745 |
1527. | 1527    1.501099 |
1528. | 1528   -.5096551 |
1529. | 1529    .5615981 |
1530. | 1530   -.4861499 |
      |------------------|
1531. | 1531    -.582386 |
1532. | 1532    .5707221 |
1533. | 1533     .765211 |
1534. | 1534    1.229793 |
1535. | 1535    2.234346 |
      |------------------|
1536. | 1536    .4007003 |
1537. | 1537    1.130478 |
1538. | 1538    .8378477 |
1539. | 1539   -.0038863 |
1540. | 1540   -.2104989 |
      |------------------|
1541. | 1541   -.5833461 |
1542. | 1542    .4315997 |
1543. | 1543   -.2842577 |
1544. | 1544   -.7307648 |
1545. | 1545    1.014381 |
      |------------------|
1546. | 1546   -.8741459 |
1547. | 1547   -.1322675 |
1548. | 1548    .9278062 |
1549. | 1549    1.993794 |
1550. | 1550    .1089155 |
      |------------------|
1551. | 1551    1.212582 |
1552. | 1552   -.7188135 |
1553. | 1553    1.124701 |
1554. | 1554    .1068088 |
1555. | 1555    2.847888 |
      |------------------|
1556. | 1556    .1502059 |
1557. | 1557   -.8271109 |
1558. | 1558   -.3441014 |
1559. | 1559    .0739983 |
1560. | 1560   -.4623938 |
      |------------------|
1561. | 1561    .0661522 |
1562. | 1562    .2096489 |
1563. | 1563    .4400186 |
1564. | 1564   -.1103608 |
1565. | 1565    .3008544 |
      |------------------|
1566. | 1566   -.0921893 |
1567. | 1567   -.9068291 |
1568. | 1568     .884771 |
1569. | 1569    .5545347 |
1570. | 1570    -.037329 |
      |------------------|
1571. | 1571    1.243554 |
1572. | 1572   -.4584871 |
1573. | 1573    1.081696 |
1574. | 1574   -.9975844 |
1575. | 1575   -1.066676 |
      |------------------|
1576. | 1576   -.5992935 |
1577. | 1577   -.0101618 |
1578. | 1578    .3080261 |
1579. | 1579   -.4173438 |
1580. | 1580     .429686 |
      |------------------|
1581. | 1581    .3402188 |
1582. | 1582    -.859946 |
1583. | 1583    .1654212 |
1584. | 1584    .0462843 |
1585. | 1585    .0578446 |
      |------------------|
1586. | 1586   -.3379878 |
1587. | 1587    .5000795 |
1588. | 1588    .2417334 |
1589. | 1589   -.1044739 |
1590. | 1590    .2719532 |
      |------------------|
1591. | 1591   -.3143777 |
1592. | 1592   -.9081228 |
1593. | 1593    .5290093 |
1594. | 1594    .2586038 |
1595. | 1595   -1.585545 |
      |------------------|
1596. | 1596   -.2870512 |
1597. | 1597   -.4360972 |
1598. | 1598    1.330897 |
1599. | 1599    .1481218 |
1600. | 1600   -.9928908 |
      |------------------|
1601. | 1601    1.086046 |
1602. | 1602    .7389412 |
1603. | 1603   -.0772117 |
1604. | 1604   -.4599745 |
1605. | 1605   -1.337157 |
      |------------------|
1606. | 1606    1.158365 |
1607. | 1607    .7975835 |
1608. | 1608    1.089472 |
1609. | 1609    .1842393 |
1610. | 1610   -.6884438 |
      |------------------|
1611. | 1611     .805972 |
1612. | 1612    .8857679 |
1613. | 1613   -.5963869 |
1614. | 1614   -.0526213 |
1615. | 1615   -.1680205 |
      |------------------|
1616. | 1616    -.417689 |
1617. | 1617   -2.062818 |
1618. | 1618    -.898185 |
1619. | 1619   -.7375081 |
1620. | 1620    .1277885 |
      |------------------|
1621. | 1621   -1.113457 |
1622. | 1622    .5630965 |
1623. | 1623    .0726498 |
1624. | 1624    .0401006 |
1625. | 1625    .5531914 |
      |------------------|
1626. | 1626    .1010958 |
1627. | 1627   -1.518879 |
1628. | 1628    1.247266 |
1629. | 1629    .8438482 |
1630. | 1630    .3008566 |
      |------------------|
1631. | 1631    .0659032 |
1632. | 1632   -1.684421 |
1633. | 1633    1.412961 |
1634. | 1634    .4526669 |
1635. | 1635   -1.927261 |
      |------------------|
1636. | 1636    .5878621 |
1637. | 1637   -.8061427 |
1638. | 1638   -1.493653 |
1639. | 1639   -1.314756 |
1640. | 1640    2.060246 |
      |------------------|
1641. | 1641    .6759236 |
1642. | 1642      .86904 |
1643. | 1643     .627149 |
1644. | 1644    .2151019 |
1645. | 1645    .0763901 |
      |------------------|
1646. | 1646   -1.545975 |
1647. | 1647   -.0860456 |
1648. | 1648   -.1572634 |
1649. | 1649    .1866724 |
1650. | 1650    1.196909 |
      |------------------|
1651. | 1651    .1530572 |
1652. | 1652   -.0641813 |
1653. | 1653    1.837111 |
1654. | 1654   -.0629974 |
1655. | 1655   -.2088489 |
      |------------------|
1656. | 1656    1.532627 |
1657. | 1657   -.3433195 |
1658. | 1658    .2321139 |
1659. | 1659   -.1632569 |
1660. | 1660    .7794208 |
      |------------------|
1661. | 1661    .0254241 |
1662. | 1662    1.108776 |
1663. | 1663   -.8282614 |
1664. | 1664   -.8340861 |
1665. | 1665    .2064229 |
      |------------------|
1666. | 1666     1.91185 |
1667. | 1667   -1.311224 |
1668. | 1668    .8490564 |
1669. | 1669   -.6733855 |
1670. | 1670   -.1306615 |
      |------------------|
1671. | 1671   -.4955822 |
1672. | 1672   -.8721805 |
1673. | 1673   -.0074507 |
1674. | 1674    .1430417 |
1675. | 1675   -.5384022 |
      |------------------|
1676. | 1676    1.313631 |
1677. | 1677   -2.207024 |
1678. | 1678    .3033414 |
1679. | 1679    1.153125 |
1680. | 1680   -.7022966 |
      |------------------|
1681. | 1681    .3796379 |
1682. | 1682    .8507387 |
1683. | 1683    1.157668 |
1684. | 1684    1.493937 |
1685. | 1685    .8965232 |
      |------------------|
1686. | 1686    .5537364 |
1687. | 1687   -2.586608 |
1688. | 1688   -.0842816 |
1689. | 1689    1.008944 |
1690. | 1690   -1.268307 |
      |------------------|
1691. | 1691   -.0960503 |
1692. | 1692   -.0077661 |
1693. | 1693    1.373195 |
1694. | 1694    .4760146 |
1695. | 1695    .4370188 |
      |------------------|
1696. | 1696   -1.008779 |
1697. | 1697   -.6550132 |
1698. | 1698    .4737207 |
1699. | 1699    .5325467 |
1700. | 1700   -1.053332 |
      |------------------|
1701. | 1701   -1.417954 |
1702. | 1702   -.1131727 |
1703. | 1703   -.6287651 |
1704. | 1704   -1.223895 |
1705. | 1705    .1118456 |
      |------------------|
1706. | 1706   -.6736265 |
1707. | 1707    .0720179 |
1708. | 1708   -1.476278 |
1709. | 1709    .9085021 |
1710. | 1710     1.11528 |
      |------------------|
1711. | 1711   -.6344207 |
1712. | 1712    .3377935 |
1713. | 1713   -.1434156 |
1714. | 1714    .5518334 |
1715. | 1715   -.0164159 |
      |------------------|
1716. | 1716   -.0472101 |
1717. | 1717    .3647393 |
1718. | 1718   -1.666588 |
1719. | 1719    .9122816 |
1720. | 1720   -.3813153 |
      |------------------|
1721. | 1721    .2852935 |
1722. | 1722    1.161251 |
1723. | 1723    .2971093 |
1724. | 1724   -.3177781 |
1725. | 1725   -.0439219 |
      |------------------|
1726. | 1726   -.5143477 |
1727. | 1727    1.815809 |
1728. | 1728   -.1116067 |
1729. | 1729    .0566225 |
1730. | 1730   -.5336604 |
      |------------------|
1731. | 1731   -.0915892 |
1732. | 1732    2.444018 |
1733. | 1733   -2.097904 |
1734. | 1734   -1.621328 |
1735. | 1735    .0545004 |
      |------------------|
1736. | 1736    .2376004 |
1737. | 1737    -1.11454 |
1738. | 1738    1.266691 |
1739. | 1739   -1.158564 |
1740. | 1740   -.6627576 |
      |------------------|
1741. | 1741   -.2027952 |
1742. | 1742    1.293587 |
1743. | 1743    .4631284 |
1744. | 1744    1.113407 |
1745. | 1745   -.3961265 |
      |------------------|
1746. | 1746    .3950317 |
1747. | 1747    .1441375 |
1748. | 1748   -.5422873 |
1749. | 1749    -.691029 |
1750. | 1750     .206874 |
      |------------------|
1751. | 1751   -.7729068 |
1752. | 1752   -1.461222 |
1753. | 1753    .1736405 |
1754. | 1754   -.8693215 |
1755. | 1755   -.2691646 |
      |------------------|
1756. | 1756   -.3329999 |
1757. | 1757    .7910383 |
1758. | 1758    .1886451 |
1759. | 1759    -.448778 |
1760. | 1760   -.4814873 |
      |------------------|
1761. | 1761    .1985371 |
1762. | 1762    1.388591 |
1763. | 1763    .0409259 |
1764. | 1764   -1.951319 |
1765. | 1765    1.377598 |
      |------------------|
1766. | 1766    1.528457 |
1767. | 1767   -1.368776 |
1768. | 1768    .2702014 |
1769. | 1769    .0194271 |
1770. | 1770   -1.644103 |
      |------------------|
1771. | 1771    1.835622 |
1772. | 1772   -.3856482 |
1773. | 1773   -2.064445 |
1774. | 1774   -1.418072 |
1775. | 1775    .2777937 |
      |------------------|
1776. | 1776    .1050545 |
1777. | 1777   -.6239407 |
1778. | 1778   -.3613616 |
1779. | 1779    .2016436 |
1780. | 1780   -1.327987 |
      |------------------|
1781. | 1781   -.6120899 |
1782. | 1782    .9231158 |
1783. | 1783    .0246653 |
1784. | 1784   -.2531704 |
1785. | 1785    .2180329 |
      |------------------|
1786. | 1786   -.1575486 |
1787. | 1787   -.7140661 |
1788. | 1788   -.3268969 |
1789. | 1789    1.592656 |
1790. | 1790   -1.406202 |
      |------------------|
1791. | 1791   -1.598765 |
1792. | 1792    .0572209 |
1793. | 1793    1.477491 |
1794. | 1794    .4471159 |
1795. | 1795   -.9710118 |
      |------------------|
1796. | 1796   -.1836939 |
1797. | 1797    .6973222 |
1798. | 1798   -.5070618 |
1799. | 1799    .3906637 |
1800. | 1800   -.1935495 |
      |------------------|
1801. | 1801   -.6861013 |
1802. | 1802    .0778855 |
1803. | 1803    .6191683 |
1804. | 1804   -1.639555 |
1805. | 1805    .9672436 |
      |------------------|
1806. | 1806    1.122467 |
1807. | 1807    .2643572 |
1808. | 1808   -.5039287 |
1809. | 1809    .9649563 |
1810. | 1810    .2702167 |
      |------------------|
1811. | 1811    .5130129 |
1812. | 1812   -1.423343 |
1813. | 1813    1.582265 |
1814. | 1814   -.2007178 |
1815. | 1815   -.4408119 |
      |------------------|
1816. | 1816   -1.549881 |
1817. | 1817    2.083606 |
1818. | 1818   -.9244134 |
1819. | 1819    .6318482 |
1820. | 1820    1.727853 |
      |------------------|
1821. | 1821   -2.908514 |
1822. | 1822    -1.21958 |
1823. | 1823    1.561262 |
1824. | 1824    1.154575 |
1825. | 1825   -1.110834 |
      |------------------|
1826. | 1826    -.102893 |
1827. | 1827    .4744214 |
1828. | 1828   -.2533338 |
1829. | 1829    .5347195 |
1830. | 1830     1.25544 |
      |------------------|
1831. | 1831   -1.102132 |
1832. | 1832    .7889632 |
1833. | 1833    .3010113 |
1834. | 1834   -.1950488 |
1835. | 1835    .8304147 |
      |------------------|
1836. | 1836   -.6444539 |
1837. | 1837    .3861282 |
1838. | 1838   -.9064412 |
1839. | 1839    1.080471 |
1840. | 1840    -.699894 |
      |------------------|
1841. | 1841   -.7747279 |
1842. | 1842    .7913415 |
1843. | 1843   -1.530213 |
1844. | 1844    1.207226 |
1845. | 1845   -.1867444 |
      |------------------|
1846. | 1846   -.8756921 |
1847. | 1847   -.6459674 |
1848. | 1848    -2.01544 |
1849. | 1849    -.127937 |
1850. | 1850   -.5699764 |
      |------------------|
1851. | 1851   -.7744145 |
1852. | 1852    .7416745 |
1853. | 1853    .4210896 |
1854. | 1854   -.5555969 |
1855. | 1855    .0561264 |
      |------------------|
1856. | 1856     .250256 |
1857. | 1857    .5039724 |
1858. | 1858   -1.074888 |
1859. | 1859   -.7507133 |
1860. | 1860    .7256713 |
      |------------------|
1861. | 1861   -.0314977 |
1862. | 1862    1.521639 |
1863. | 1863    .9847307 |
1864. | 1864    .0218548 |
1865. | 1865    1.210655 |
      |------------------|
1866. | 1866     .838045 |
1867. | 1867   -1.012533 |
1868. | 1868   -.0334946 |
1869. | 1869    .6966522 |
1870. | 1870   -.0537093 |
      |------------------|
1871. | 1871   -.1212578 |
1872. | 1872     .365468 |
1873. | 1873    -.917318 |
1874. | 1874    .6305487 |
1875. | 1875    -.167268 |
      |------------------|
1876. | 1876    -1.73211 |
1877. | 1877    .3154278 |
1878. | 1878   -.8864616 |
1879. | 1879   -1.053138 |
1880. | 1880   -.9682429 |
      |------------------|
1881. | 1881   -.1330089 |
1882. | 1882    -1.04461 |
1883. | 1883    -.787443 |
1884. | 1884   -1.143259 |
1885. | 1885   -.5819679 |
      |------------------|
1886. | 1886   -.0790347 |
1887. | 1887    1.472194 |
1888. | 1888    .3601197 |
1889. | 1889    .0525768 |
1890. | 1890    .8418176 |
      |------------------|
1891. | 1891   -.3388529 |
1892. | 1892   -.0216529 |
1893. | 1893    1.016445 |
1894. | 1894   -.5680252 |
1895. | 1895    1.045965 |
      |------------------|
1896. | 1896   -.0192507 |
1897. | 1897   -1.191141 |
1898. | 1898    .1732918 |
1899. | 1899   -1.657668 |
1900. | 1900    .3199412 |
      |------------------|
1901. | 1901   -.2545055 |
1902. | 1902   -.1619034 |
1903. | 1903     .700156 |
1904. | 1904    .2981024 |
1905. | 1905   -1.523291 |
      |------------------|
1906. | 1906    2.663018 |
1907. | 1907   -.2856032 |
1908. | 1908   -.3642903 |
1909. | 1909    1.192331 |
1910. | 1910   -.2235007 |
      |------------------|
1911. | 1911    .7346119 |
1912. | 1912   -.5376405 |
1913. | 1913   -.2448603 |
1914. | 1914   -1.380989 |
1915. | 1915   -.8751085 |
      |------------------|
1916. | 1916   -.2632173 |
1917. | 1917     -1.1323 |
1918. | 1918   -1.293949 |
1919. | 1919   -1.492248 |
1920. | 1920    1.736868 |
      |------------------|
1921. | 1921    .2857998 |
1922. | 1922   -1.483172 |
1923. | 1923   -1.045864 |
1924. | 1924    1.340451 |
1925. | 1925   -1.114916 |
      |------------------|
1926. | 1926   -.3754869 |
1927. | 1927   -.8986745 |
1928. | 1928   -.5751694 |
1929. | 1929   -.5372302 |
1930. | 1930     .490461 |
      |------------------|
1931. | 1931    .9039032 |
1932. | 1932   -1.089739 |
1933. | 1933    -.279541 |
1934. | 1934    .8007985 |
1935. | 1935    -.197297 |
      |------------------|
1936. | 1936    .2401542 |
1937. | 1937   -1.237613 |
1938. | 1938   -.8341275 |
1939. | 1939    .3845996 |
1940. | 1940   -.2523995 |
      |------------------|
1941. | 1941    .2550097 |
1942. | 1942    .7032081 |
1943. | 1943    .2970253 |
1944. | 1944    1.358254 |
1945. | 1945   -.0383684 |
      |------------------|
1946. | 1946   -1.154632 |
1947. | 1947    .2201552 |
1948. | 1948   -.4897186 |
1949. | 1949    .6603267 |
1950. | 1950   -.6456949 |
      |------------------|
1951. | 1951     -.25239 |
1952. | 1952   -.1347099 |
1953. | 1953    1.015362 |
1954. | 1954    .0383852 |
1955. | 1955   -1.637111 |
      |------------------|
1956. | 1956   -1.759388 |
1957. | 1957   -.8260159 |
1958. | 1958    .6473843 |
1959. | 1959   -.6629063 |
1960. | 1960    .8853434 |
      |------------------|
1961. | 1961   -1.403982 |
1962. | 1962    .3431303 |
1963. | 1963    .6152163 |
1964. | 1964     2.12338 |
1965. | 1965    .2484446 |
      |------------------|
1966. | 1966    .1131788 |
1967. | 1967    .1172584 |
1968. | 1968    2.053622 |
1969. | 1969   -1.595319 |
1970. | 1970   -.5183356 |
      |------------------|
1971. | 1971    .5555672 |
1972. | 1972   -1.608511 |
1973. | 1973    .6199092 |
1974. | 1974   -.0152533 |
1975. | 1975    .1936962 |
      |------------------|
1976. | 1976    .9128343 |
1977. | 1977   -.2566174 |
1978. | 1978    1.138826 |
1979. | 1979    .4124117 |
1980. | 1980    .8067552 |
      |------------------|
1981. | 1981   -.5349731 |
1982. | 1982    .5912181 |
1983. | 1983   -.4030885 |
1984. | 1984   -.1822262 |
1985. | 1985    .4158939 |
      |------------------|
1986. | 1986    .7433913 |
1987. | 1987    .9487792 |
1988. | 1988   -.4721081 |
1989. | 1989   -.0127992 |
1990. | 1990   -1.226825 |
      |------------------|
1991. | 1991   -1.115703 |
1992. | 1992     .148394 |
1993. | 1993    -.963734 |
1994. | 1994    1.233215 |
1995. | 1995   -1.633032 |
      |------------------|
1996. | 1996    .2344488 |
1997. | 1997     1.38423 |
1998. | 1998    .1007522 |
1999. | 1999     2.18683 |
2000. | 2000    .6560388 |
      |------------------|
2001. | 2001     .255023 |
2002. | 2002    .4018177 |
2003. | 2003   -3.003129 |
2004. | 2004   -.4728818 |
2005. | 2005    .5428048 |
      |------------------|
2006. | 2006    1.969938 |
2007. | 2007     .028398 |
2008. | 2008    -1.05382 |
2009. | 2009     .531441 |
2010. | 2010   -.4025638 |
      |------------------|
2011. | 2011     1.29741 |
2012. | 2012    -2.28181 |
2013. | 2013    1.523559 |
2014. | 2014   -.2203988 |
2015. | 2015    .5140132 |
      |------------------|
2016. | 2016   -1.266775 |
2017. | 2017    1.101155 |
2018. | 2018    .5627351 |
2019. | 2019   -.1015276 |
2020. | 2020   -1.164971 |
      |------------------|
2021. | 2021     .800942 |
2022. | 2022     -.54606 |
2023. | 2023   -.2885734 |
2024. | 2024   -.0380269 |
2025. | 2025    .0364317 |
      |------------------|
2026. | 2026    .2721905 |
2027. | 2027   -.2343059 |
2028. | 2028     .724118 |
2029. | 2029   -1.847459 |
2030. | 2030   -1.879002 |
      |------------------|
2031. | 2031    1.320718 |
2032. | 2032   -.9429566 |
2033. | 2033   -.9097853 |
2034. | 2034   -.6256234 |
2035. | 2035    .7972568 |
      |------------------|
2036. | 2036    1.666545 |
2037. | 2037    .6049656 |
2038. | 2038    .5238131 |
2039. | 2039    1.307305 |
2040. | 2040   -.3397392 |
      |------------------|
2041. | 2041    .7565389 |
2042. | 2042   -1.554834 |
2043. | 2043   -.3195015 |
2044. | 2044    1.024942 |
2045. | 2045    1.513537 |
      |------------------|
2046. | 2046   -.3645658 |
2047. | 2047    -1.24856 |
2048. | 2048   -1.054941 |
2049. | 2049     .734643 |
2050. | 2050    .6258816 |
      |------------------|
2051. | 2051   -.4804935 |
2052. | 2052   -.0788388 |
2053. | 2053    1.103353 |
2054. | 2054    -.547932 |
2055. | 2055   -.8178571 |
      |------------------|
2056. | 2056    1.632149 |
2057. | 2057    .2263754 |
2058. | 2058    1.233073 |
2059. | 2059   -1.594067 |
2060. | 2060    .7231357 |
      |------------------|
2061. | 2061    -.655525 |
2062. | 2062   -.5090537 |
2063. | 2063    .6305965 |
2064. | 2064   -.1018436 |
2065. | 2065    .9076929 |
      |------------------|
2066. | 2066   -.6891765 |
2067. | 2067    .9994456 |
2068. | 2068   -.3427288 |
2069. | 2069   -.3947626 |
2070. | 2070    .8877799 |
      |------------------|
2071. | 2071   -.5029444 |
2072. | 2072     .441382 |
2073. | 2073   -.5889087 |
2074. | 2074    .8393763 |
2075. | 2075    .1706174 |
      |------------------|
2076. | 2076    .7029657 |
2077. | 2077     .712801 |
2078. | 2078   -.9345229 |
2079. | 2079   -1.031144 |
2080. | 2080    .0095586 |
      |------------------|
2081. | 2081    .2297745 |
2082. | 2082   -.3380646 |
2083. | 2083   -1.583624 |
2084. | 2084    .7754033 |
2085. | 2085   -.4961466 |
      |------------------|
2086. | 2086   -2.657354 |
2087. | 2087    .7774931 |
2088. | 2088   -.7996839 |
2089. | 2089   -.5148752 |
2090. | 2090    -1.16843 |
      |------------------|
2091. | 2091   -.0557259 |
2092. | 2092    .3691422 |
2093. | 2093   -1.822461 |
2094. | 2094    .0290947 |
2095. | 2095   -.0888668 |
      |------------------|
2096. | 2096    .2546018 |
2097. | 2097    .2062483 |
2098. | 2098    .6894096 |
2099. | 2099   -.9677927 |
2100. | 2100    2.885228 |
      |------------------|
2101. | 2101   -.9076688 |
2102. | 2102   -1.337615 |
2103. | 2103    .6386184 |
2104. | 2104   -.8956946 |
2105. | 2105    .2844561 |
      |------------------|
2106. | 2106    .7796535 |
2107. | 2107    1.305725 |
2108. | 2108   -1.225087 |
2109. | 2109     .716106 |
2110. | 2110    .8040836 |
      |------------------|
2111. | 2111   -1.665014 |
2112. | 2112   -.4258116 |
2113. | 2113   -.2546454 |
2114. | 2114   -1.730938 |
2115. | 2115   -1.765708 |
      |------------------|
2116. | 2116    .4540189 |
2117. | 2117     .445001 |
2118. | 2118    1.162488 |
2119. | 2119    1.507969 |
2120. | 2120   -.1351223 |
      |------------------|
2121. | 2121   -.5477073 |
2122. | 2122    .7094039 |
2123. | 2123    .6829573 |
2124. | 2124    .3101445 |
2125. | 2125    .2576289 |
      |------------------|
2126. | 2126    .8334412 |
2127. | 2127   -1.340304 |
2128. | 2128    .1771169 |
2129. | 2129   -.3901962 |
2130. | 2130   -1.164521 |
      |------------------|
2131. | 2131    1.026025 |
2132. | 2132    .0896879 |
2133. | 2133    .5318295 |
2134. | 2134    .7644045 |
2135. | 2135    .5886674 |
      |------------------|
2136. | 2136   -.1615519 |
2137. | 2137    .6078131 |
2138. | 2138   -1.313879 |
2139. | 2139    .6225482 |
2140. | 2140    .9917158 |
      |------------------|
2141. | 2141     .778953 |
2142. | 2142   -.1383306 |
2143. | 2143   -.6392772 |
2144. | 2144   -.2192726 |
2145. | 2145     .392268 |
      |------------------|
2146. | 2146   -1.455625 |
2147. | 2147   -.2172486 |
2148. | 2148   -.5015463 |
2149. | 2149   -.0295551 |
2150. | 2150   -.2136513 |
      |------------------|
2151. | 2151    .0905234 |
2152. | 2152   -.4275637 |
2153. | 2153    .8502192 |
2154. | 2154    .1748569 |
2155. | 2155   -.7397205 |
      |------------------|
2156. | 2156    1.839417 |
2157. | 2157   -.4127475 |
2158. | 2158    1.262012 |
2159. | 2159    .8775436 |
2160. | 2160    2.631368 |
      |------------------|
2161. | 2161    .4463753 |
2162. | 2162   -.9542186 |
2163. | 2163    .9271038 |
2164. | 2164    .9197674 |
2165. | 2165    .2722351 |
      |------------------|
2166. | 2166   -.5726656 |
2167. | 2167    .5856461 |
2168. | 2168   -.9370111 |
2169. | 2169   -.2170401 |
2170. | 2170    1.329803 |
      |------------------|
2171. | 2171   -.4183936 |
2172. | 2172    .2643579 |
2173. | 2173     1.09942 |
2174. | 2174    .8038431 |
2175. | 2175   -.8877705 |
      |------------------|
2176. | 2176   -.5503069 |
2177. | 2177   -1.133858 |
2178. | 2178   -.4800086 |
2179. | 2179    .1628087 |
2180. | 2180   -1.400843 |
      |------------------|
2181. | 2181    .9106485 |
2182. | 2182    1.200861 |
2183. | 2183    .3084378 |
2184. | 2184    -.883666 |
2185. | 2185    .2568329 |
      |------------------|
2186. | 2186    .5774639 |
2187. | 2187    1.648778 |
2188. | 2188    .6423522 |
2189. | 2189    .9086859 |
2190. | 2190   -1.611569 |
      |------------------|
2191. | 2191   -.0550252 |
2192. | 2192    1.124135 |
2193. | 2193   -.9073619 |
2194. | 2194   -.5183232 |
2195. | 2195   -.3373646 |
      |------------------|
2196. | 2196   -.5970072 |
2197. | 2197   -.0539629 |
2198. | 2198   -2.097478 |
2199. | 2199   -1.816259 |
2200. | 2200    .5335116 |
      |------------------|
2201. | 2201   -1.098283 |
2202. | 2202   -1.046392 |
2203. | 2203    .7180031 |
2204. | 2204    .7301599 |
2205. | 2205    1.252581 |
      |------------------|
2206. | 2206    .8082328 |
2207. | 2207    -1.94515 |
2208. | 2208   -1.349003 |
2209. | 2209   -1.515874 |
2210. | 2210    .8902257 |
      |------------------|
2211. | 2211   -1.219239 |
2212. | 2212   -.5124767 |
2213. | 2213    -.227095 |
2214. | 2214     -1.4281 |
2215. | 2215     2.26113 |
      |------------------|
2216. | 2216    1.351666 |
2217. | 2217    .3302576 |
2218. | 2218    .6845033 |
2219. | 2219    .5575488 |
2220. | 2220   -1.609502 |
      |------------------|
2221. | 2221   -.4145925 |
2222. | 2222   -.3429177 |
2223. | 2223   -2.377929 |
2224. | 2224    .3693061 |
2225. | 2225   -.1039843 |
      |------------------|
2226. | 2226   -1.176097 |
2227. | 2227    .0858012 |
2228. | 2228   -2.066293 |
2229. | 2229    .9737514 |
2230. | 2230    .5122937 |
      |------------------|
2231. | 2231    .2555544 |
2232. | 2232   -1.075766 |
2233. | 2233   -.1099815 |
2234. | 2234    1.083561 |
2235. | 2235   -.5055037 |
      |------------------|
2236. | 2236    .5690151 |
2237. | 2237   -.1075986 |
2238. | 2238    .9758679 |
2239. | 2239   -1.230652 |
