
      +------------------------------+
      |   id          x1          x2 |
1613. | 1613   -.5963869    1.182082 |
1614. | 1614   -.0526213   -.7209392 |
1615. | 1615   -.1680205    .3206251 |
      |------------------------------|
1616. | 1616    -.417689    1.342918 |
1617. | 1617   -2.062818   -.0814055 |
1618. | 1618    -.898185    .1642567 |
1619. | 1619   -.7375081   -1.520537 |
1620. | 1620    .1277885   -1.644858 |
      |------------------------------|
1621. | 1621   -1.113457   -.2945144 |
1622. | 1622    .5630965   -.3729807 |
1623. | 1623    .0726498    .1875525 |
1624. | 1624    .0401006    -.071396 |
1625. | 1625    .5531914   -.4833138 |
      |------------------------------|
1626. | 1626    .1010958   -1.547988 |
1627. | 1627   -1.518879   -.5838615 |
1628. | 1628    1.247266   -.7634732 |
1629. | 1629    .8438482   -1.148722 |
1630. | 1630    .3008566   -1.658326 |
      |------------------------------|
1631. | 1631    .0659032    .1132143 |
1632. | 1632   -1.684421   -.6235912 |
1633. | 1633    1.412961   -.8002388 |
1634. | 1634    .4526669    .6682748 |
1635. | 1635   -1.927261   -.1566541 |
      |------------------------------|
1636. | 1636    .5878621    -.280558 |
1637. | 1637   -.8061427    .4257953 |
1638. | 1638   -1.493653   -.6881534 |
1639. | 1639   -1.314756    1.089437 |
1640. | 1640    2.060246   -.5238865 |
      |------------------------------|
1641. | 1641    .6759236   -.5883198 |
1642. | 1642      .86904    .7383975 |
1643. | 1643     .627149   -2.436327 |
1644. | 1644    .2151019   -1.510658 |
1645. | 1645    .0763901    .5397609 |
      |------------------------------|
1646. | 1646   -1.545975   -.2350128 |
1647. | 1647   -.0860456    .0665715 |
1648. | 1648   -.1572634    1.514476 |
1649. | 1649    .1866724   -.0020979 |
1650. | 1650    1.196909   -.1384094 |
      |------------------------------|
1651. | 1651    .1530572    .8051888 |
1652. | 1652   -.0641813    .5806623 |
1653. | 1653    1.837111   -.3501663 |
1654. | 1654   -.0629974    .1252042 |
1655. | 1655   -.2088489       .3272 |
      |------------------------------|
1656. | 1656    1.532627   -.8713379 |
1657. | 1657   -.3433195    .6624134 |
1658. | 1658    .2321139    .9954534 |
1659. | 1659   -.1632569    1.659432 |
1660. | 1660    .7794208    2.194448 |
      |------------------------------|
1661. | 1661    .0254241   -.1818284 |
1662. | 1662    1.108776     .947544 |
1663. | 1663   -.8282614   -1.677196 |
1664. | 1664   -.8340861   -1.455955 |
1665. | 1665    .2064229    2.117367 |
      |------------------------------|
1666. | 1666     1.91185   -.6290404 |
1667. | 1667   -1.311224   -.9217764 |
1668. | 1668    .8490564   -1.360487 |
1669. | 1669   -.6733855     .525611 |
1670. | 1670   -.1306615   -.5608963 |
      |------------------------------|
1671. | 1671   -.4955822    .6014062 |
1672. | 1672   -.8721805    -.204097 |
1673. | 1673   -.0074507   -1.648017 |
1674. | 1674    .1430417   -.8492972 |
1675. | 1675   -.5384022   -.5979643 |
      |------------------------------|
1676. | 1676    1.313631    .5042561 |
1677. | 1677   -2.207024    .3444094 |
1678. | 1678    .3033414    .3901704 |
1679. | 1679    1.153125     .027339 |
1680. | 1680   -.7022966   -1.080737 |
      |------------------------------|
1681. | 1681    .3796379   -1.935189 |
1682. | 1682    .8507387   -.7958593 |
1683. | 1683    1.157668   -1.300756 |
1684. | 1684    1.493937   -1.199089 |
1685. | 1685    .8965232    1.210802 |
      |------------------------------|
1686. | 1686    .5537364   -.4323111 |
1687. | 1687   -2.586608    .3981974 |
1688. | 1688   -.0842816    .2463227 |
1689. | 1689    1.008944    .9072239 |
1690. | 1690   -1.268307   -.7910866 |
      |------------------------------|
1691. | 1691   -.0960503    .5603568 |
1692. | 1692   -.0077661   -.8350092 |
1693. | 1693    1.373195    .0796553 |
1694. | 1694    .4760146   -.7081484 |
1695. | 1695    .4370188    .2032126 |
      |------------------------------|
1696. | 1696   -1.008779   -.5389745 |
1697. | 1697   -.6550132    -.378032 |
1698. | 1698    .4737207      .11222 |
1699. | 1699    .5325467    .9694553 |
1700. | 1700   -1.053332    .0261348 |
      |------------------------------|
1701. | 1701   -1.417954    .3792414 |
1702. | 1702   -.1131727   -2.528436 |
1703. | 1703   -.6287651   -.1067826 |
1704. | 1704   -1.223895   -.2635147 |
1705. | 1705    .1118456    .9930696 |
      |------------------------------|
1706. | 1706   -.6736265    .6920685 |
1707. | 1707    .0720179   -.6072587 |
1708. | 1708   -1.476278    .9136865 |
1709. | 1709    .9085021   -1.049596 |
1710. | 1710     1.11528   -2.050473 |
      |------------------------------|
1711. | 1711   -.6344207   -1.503219 |
1712. | 1712    .3377935   -.7805961 |
1713. | 1713   -.1434156   -1.323226 |
1714. | 1714    .5518334   -.4360752 |
1715. | 1715   -.0164159   -.7148004 |
      |------------------------------|
1716. | 1716   -.0472101   -1.277832 |
1717. | 1717    .3647393   -.3310929 |
1718. | 1718   -1.666588    .3136244 |
1719. | 1719    .9122816    2.660394 |
1720. | 1720   -.3813153   -1.399216 |
      |------------------------------|
1721. | 1721    .2852935    .2204248 |
1722. | 1722    1.161251    .5319113 |
1723. | 1723    .2971093    1.893319 |
1724. | 1724   -.3177781    .0589842 |
1725. | 1725   -.0439219   -.5209638 |
      |------------------------------|
1726. | 1726   -.5143477   -1.108963 |
1727. | 1727    1.815809     .479277 |
1728. | 1728   -.1116067   -1.173067 |
1729. | 1729    .0566225   -.4292901 |
1730. | 1730   -.5336604    .5033136 |
      |------------------------------|
1731. | 1731   -.0915892   -1.443618 |
1732. | 1732    2.444018    -.577818 |
1733. | 1733   -2.097904    .3873545 |
1734. | 1734   -1.621328    .8454401 |
1735. | 1735    .0545004     .720049 |
      |------------------------------|
1736. | 1736    .2376004    1.273253 |
1737. | 1737    -1.11454   -.7010226 |
1738. | 1738    1.266691    1.112658 |
1739. | 1739   -1.158564    .6834332 |
1740. | 1740   -.6627576    -.152481 |
      |------------------------------|
1741. | 1741   -.2027952   -.7998227 |
1742. | 1742    1.293587    .5593836 |
1743. | 1743    .4631284    .0921471 |
1744. | 1744    1.113407    1.178803 |
1745. | 1745   -.3961265    -.002741 |
      |------------------------------|
1746. | 1746    .3950317    .0085151 |
1747. | 1747    .1441375    .0461417 |
1748. | 1748   -.5422873    1.020101 |
1749. | 1749    -.691029    .0376753 |
1750. | 1750     .206874    .8551919 |
      |------------------------------|
1751. | 1751   -.7729068    .2058501 |
1752. | 1752   -1.461222    .0997762 |
1753. | 1753    .1736405    .5645955 |
1754. | 1754   -.8693215    .6328846 |
1755. | 1755   -.2691646    2.121348 |
      |------------------------------|
1756. | 1756   -.3329999   -.2073223 |
1757. | 1757    .7910383    .7553208 |
1758. | 1758    .1886451    .8526343 |
1759. | 1759    -.448778   -.2687317 |
1760. | 1760   -.4814873     1.41939 |
      |------------------------------|
1761. | 1761    .1985371   -.3595962 |
1762. | 1762    1.388591   -.2465457 |
1763. | 1763    .0409259   -.5818273 |
1764. | 1764   -1.951319   -.8287057 |
1765. | 1765    1.377598   -1.232671 |
      |------------------------------|
1766. | 1766    1.528457    .9397377 |
1767. | 1767   -1.368776     .568637 |
1768. | 1768    .2702014    .1394237 |
1769. | 1769    .0194271    .0151959 |
1770. | 1770   -1.644103    .8853636 |
      |------------------------------|
1771. | 1771    1.835622   -1.089396 |
1772. | 1772   -.3856482   -1.565197 |
1773. | 1773   -2.064445    -.133381 |
1774. | 1774   -1.418072    .1679796 |
1775. | 1775    .2777937    .8792555 |
      |------------------------------|
1776. | 1776    .1050545    .3722003 |
1777. | 1777   -.6239407    1.569942 |
1778. | 1778   -.3613616    1.397878 |
1779. | 1779    .2016436   -1.516935 |
1780. | 1780   -1.327987   -.0115164 |
      |------------------------------|
1781. | 1781   -.6120899   -1.948038 |
1782. | 1782    .9231158   -.7081084 |
1783. | 1783    .0246653    .8397031 |
1784. | 1784   -.2531704    2.461337 |
1785. | 1785    .2180329   -1.180431 |
      |------------------------------|
1786. | 1786   -.1575486    .2309574 |
1787. | 1787   -.7140661   -.3786777 |
1788. | 1788   -.3268969    .1170431 |
1789. | 1789    1.592656    1.361991 |
1790. | 1790   -1.406202    .7101309 |
      |------------------------------|
1791. | 1791   -1.598765   -1.119149 |
1792. | 1792    .0572209    .6885597 |
1793. | 1793    1.477491   -.1236738 |
1794. | 1794    .4471159    .4451518 |
1795. | 1795   -.9710118   -.1690575 |
      |------------------------------|
1796. | 1796   -.1836939    .2255861 |
1797. | 1797    .6973222   -.0256694 |
1798. | 1798   -.5070618   -.6150714 |
1799. | 1799    .3906637   -.0237117 |
1800. | 1800   -.1935495   -.4197926 |
      |------------------------------|
1801. | 1801   -.6861013   -1.168754 |
1802. | 1802    .0778855    2.483871 |
1803. | 1803    .6191683   -2.614494 |
1804. | 1804   -1.639555   -.3652059 |
1805. | 1805    .9672436    .6818668 |
      |------------------------------|
1806. | 1806    1.122467    -2.08426 |
1807. | 1807    .2643572   -.4765166 |
1808. | 1808   -.5039287   -1.040741 |
1809. | 1809    .9649563   -.5086706 |
1810. | 1810    .2702167    .4087456 |
      |------------------------------|
1811. | 1811    .5130129   -.0829469 |
1812. | 1812   -1.423343    2.400878 |
1813. | 1813    1.582265    .6059694 |
1814. | 1814   -.2007178    .0506353 |
1815. | 1815   -.4408119    .5387784 |
      |------------------------------|
1816. | 1816   -1.549881    -1.58476 |
1817. | 1817    2.083606    .0714892 |
1818. | 1818   -.9244134    .1823135 |
1819. | 1819    .6318482    .2126705 |
1820. | 1820    1.727853   -.3260785 |
      |------------------------------|
1821. | 1821   -2.908514    .3169508 |
1822. | 1822    -1.21958    1.461134 |
1823. | 1823    1.561262    1.521039 |
1824. | 1824    1.154575   -2.083155 |
1825. | 1825   -1.110834    1.183642 |
      |------------------------------|
1826. | 1826    -.102893   -.5786247 |
1827. | 1827    .4744214    -.287542 |
1828. | 1828   -.2533338    1.331404 |
1829. | 1829    .5347195    .9351884 |
1830. | 1830     1.25544    .6286368 |
      |------------------------------|
1831. | 1831   -1.102132    .1212605 |
1832. | 1832    .7889632    .2169025 |
1833. | 1833    .3010113   -.9019437 |
1834. | 1834   -.1950488   -.0117002 |
1835. | 1835    .8304147    .1265963 |
      |------------------------------|
1836. | 1836   -.6444539    .2933784 |
1837. | 1837    .3861282    .6355966 |
1838. | 1838   -.9064412     .541317 |
1839. | 1839    1.080471    -.867332 |
1840. | 1840    -.699894    .4511251 |
      |------------------------------|
1841. | 1841   -.7747279    .7310596 |
1842. | 1842    .7913415   -.0117265 |
1843. | 1843   -1.530213    1.249755 |
1844. | 1844    1.207226    -1.63019 |
1845. | 1845   -.1867444    .6335717 |
      |------------------------------|
1846. | 1846   -.8756921    1.314688 |
1847. | 1847   -.6459674   -.6215206 |
1848. | 1848    -2.01544   -.5303435 |
1849. | 1849    -.127937   -.0908343 |
1850. | 1850   -.5699764   -.1516338 |
      |------------------------------|
1851. | 1851   -.7744145    .9826486 |
1852. | 1852    .7416745    .4462343 |
1853. | 1853    .4210896    2.209976 |
1854. | 1854   -.5555969   -.7972868 |
1855. | 1855    .0561264   -1.220418 |
      |------------------------------|
1856. | 1856     .250256    .7450544 |
1857. | 1857    .5039724    -.687529 |
1858. | 1858   -1.074888   -.9261662 |
1859. | 1859   -.7507133     .497673 |
1860. | 1860    .7256713    .1392167 |
      |------------------------------|
1861. | 1861   -.0314977    .1041651 |
1862. | 1862    1.521639      .91063 |
1863. | 1863    .9847307    .1026506 |
1864. | 1864    .0218548    .2673452 |
1865. | 1865    1.210655   -.3282262 |
      |------------------------------|
1866. | 1866     .838045   -1.579111 |
1867. | 1867   -1.012533   -1.309265 |
1868. | 1868   -.0334946   -1.385927 |
1869. | 1869    .6966522    .5294863 |
1870. | 1870   -.0537093    .4338952 |
      |------------------------------|
1871. | 1871   -.1212578   -.6960088 |
1872. | 1872     .365468   -2.104841 |
1873. | 1873    -.917318    .2891457 |
1874. | 1874    .6305487   -.1345782 |
1875. | 1875    -.167268    .6060991 |
      |------------------------------|
1876. | 1876    -1.73211   -.2669984 |
1877. | 1877    .3154278   -2.261517 |
1878. | 1878   -.8864616    -.069767 |
1879. | 1879   -1.053138   -.8151927 |
1880. | 1880   -.9682429    1.002003 |
      |------------------------------|
1881. | 1881   -.1330089    .9729901 |
1882. | 1882    -1.04461   -1.133423 |
1883. | 1883    -.787443   -.6465526 |
1884. | 1884   -1.143259    .0423487 |
1885. | 1885   -.5819679    1.657273 |
      |------------------------------|
1886. | 1886   -.0790347    .4470641 |
1887. | 1887    1.472194    1.665788 |
1888. | 1888    .3601197    .9076633 |
1889. | 1889    .0525768   -1.358297 |
1890. | 1890    .8418176    -.875541 |
      |------------------------------|
1891. | 1891   -.3388529    1.009296 |
1892. | 1892   -.0216529    .0326722 |
1893. | 1893    1.016445   -2.910362 |
1894. | 1894   -.5680252   -.0325437 |
1895. | 1895    1.045965    .3163175 |
      |------------------------------|
1896. | 1896   -.0192507    .7756977 |
1897. | 1897   -1.191141    .3928541 |
1898. | 1898    .1732918   -.2898077 |
1899. | 1899   -1.657668    -2.40759 |
1900. | 1900    .3199412    -.250764 |
      |------------------------------|
1901. | 1901   -.2545055    .4975109 |
1902. | 1902   -.1619034   -.0911128 |
1903. | 1903     .700156   -.4722276 |
1904. | 1904    .2981024   -.0530449 |
1905. | 1905   -1.523291    -1.97904 |
      |------------------------------|
1906. | 1906    2.663018   -1.052523 |
1907. | 1907   -.2856032     .813271 |
1908. | 1908   -.3642903   -1.559536 |
1909. | 1909    1.192331   -.0128534 |
1910. | 1910   -.2235007    .3849484 |
      |------------------------------|
1911. | 1911    .7346119   -1.096698 |
1912. | 1912   -.5376405    .1232633 |
1913. | 1913   -.2448603    .0056386 |
1914. | 1914   -1.380989    1.033967 |
1915. | 1915   -.8751085   -2.021245 |
      |------------------------------|
1916. | 1916   -.2632173   -.0208844 |
1917. | 1917     -1.1323   -1.606759 |
1918. | 1918   -1.293949    .3180151 |
1919. | 1919   -1.492248   -.0680549 |
1920. | 1920    1.736868    -1.37796 |
      |------------------------------|
1921. | 1921    .2857998    1.068849 |
1922. | 1922   -1.483172    1.467152 |
1923. | 1923   -1.045864   -.4696334 |
1924. | 1924    1.340451    .0529835 |
1925. | 1925   -1.114916    .9990585 |
      |------------------------------|
1926. | 1926   -.3754869   -2.033608 |
1927. | 1927   -.8986745   -.1020996 |
1928. | 1928   -.5751694    2.348021 |
1929. | 1929   -.5372302   -.4571015 |
1930. | 1930     .490461     1.26583 |
      |------------------------------|
1931. | 1931    .9039032    1.531182 |
1932. | 1932   -1.089739    .9909471 |
1933. | 1933    -.279541    .9459545 |
1934. | 1934    .8007985   -1.595462 |
1935. | 1935    -.197297    .3611685 |
      |------------------------------|
1936. | 1936    .2401542     1.08293 |
1937. | 1937   -1.237613    1.619643 |
1938. | 1938   -.8341275    1.498328 |
1939. | 1939    .3845996    .3070033 |
1940. | 1940   -.2523995    .6131762 |
      |------------------------------|
1941. | 1941    .2550097   -.3316805 |
1942. | 1942    .7032081   -.3503928 |
1943. | 1943    .2970253    .0214218 |
1944. | 1944    1.358254    .0793051 |
1945. | 1945   -.0383684    1.841331 |
      |------------------------------|
1946. | 1946   -1.154632    .4041285 |
1947. | 1947    .2201552    .2932521 |
1948. | 1948   -.4897186    .1660812 |
1949. | 1949    .6603267    .3510909 |
1950. | 1950   -.6456949    .3439234 |
      |------------------------------|
1951. | 1951     -.25239    2.015255 |
1952. | 1952   -.1347099    .1703743 |
1953. | 1953    1.015362      .61141 |
1954. | 1954    .0383852    -1.24583 |
1955. | 1955   -1.637111    .6604133 |
      |------------------------------|
1956. | 1956   -1.759388     .107561 |
1957. | 1957   -.8260159   -.1143994 |
1958. | 1958    .6473843    .7051404 |
1959. | 1959   -.6629063    .5316242 |
1960. | 1960    .8853434    .1177177 |
      |------------------------------|
1961. | 1961   -1.403982   -1.234868 |
1962. | 1962    .3431303    -.157315 |
1963. | 1963    .6152163    .1091629 |
1964. | 1964     2.12338   -2.056493 |
1965. | 1965    .2484446    -1.62931 |
      |------------------------------|
1966. | 1966    .1131788    .1671861 |
1967. | 1967    .1172584    2.398639 |
1968. | 1968    2.053622    1.596383 |
1969. | 1969   -1.595319   -1.245665 |
1970. | 1970   -.5183356    1.270882 |
      |------------------------------|
1971. | 1971    .5555672    .9153106 |
1972. | 1972   -1.608511   -.7339094 |
1973. | 1973    .6199092    3.397837 |
1974. | 1974   -.0152533    1.621967 |
1975. | 1975    .1936962    -.590106 |
      |------------------------------|
1976. | 1976    .9128343    2.314051 |
1977. | 1977   -.2566174   -.5753317 |
1978. | 1978    1.138826    1.974733 |
1979. | 1979    .4124117   -.6293215 |
1980. | 1980    .8067552   -.1278462 |
      |------------------------------|
1981. | 1981   -.5349731    .8534846 |
1982. | 1982    .5912181    .0511201 |
1983. | 1983   -.4030885   -.4422547 |
1984. | 1984   -.1822262    .0684889 |
1985. | 1985    .4158939   -.2919506 |
      |------------------------------|
1986. | 1986    .7433913   -.3487941 |
1987. | 1987    .9487792    1.013158 |
1988. | 1988   -.4721081   -.4766692 |
1989. | 1989   -.0127992   -.9351427 |
1990. | 1990   -1.226825   -.8455384 |
      |------------------------------|
1991. | 1991   -1.115703    1.023903 |
1992. | 1992     .148394    .5435306 |
1993. | 1993    -.963734    .6233732 |
1994. | 1994    1.233215    2.059505 |
1995. | 1995   -1.633032   -1.025797 |
      |------------------------------|
1996. | 1996    .2344488   -2.208925 |
1997. | 1997     1.38423    .1050548 |
1998. | 1998    .1007522    .1318728 |
1999. | 1999     2.18683    1.669265 |
2000. | 2000    .6560388    .2564966 |
      |------------------------------|
2001. | 2001     .255023   -.1276871 |
2002. | 2002    .4018177   -1.485249 |
2003. | 2003   -3.003129     1.52192 |
2004. | 2004   -.4728818   -.0057492 |
2005. | 2005    .5428048   -.6938611 |
      |------------------------------|
2006. | 2006    1.969938    .2754104 |
2007. | 2007     .028398    .4885754 |
2008. | 2008    -1.05382    -.894486 |
2009. | 2009     .531441   -.5983201 |
2010. | 2010   -.4025638   -.1688614 |
      |------------------------------|
2011. | 2011     1.29741    1.314255 |
2012. | 2012    -2.28181    -1.23665 |
2013. | 2013    1.523559   -.3394637 |
2014. | 2014   -.2203988   -.6952119 |
2015. | 2015    .5140132    .6747426 |
      |------------------------------|
2016. | 2016   -1.266775   -.1897628 |
2017. | 2017    1.101155    .0841689 |
2018. | 2018    .5627351   -1.010861 |
2019. | 2019   -.1015276   -.4003326 |
2020. | 2020   -1.164971   -.6190874 |
      |------------------------------|
2021. | 2021     .800942   -.1561664 |
2022. | 2022     -.54606    .7298629 |
2023. | 2023   -.2885734   -.5273587 |
2024. | 2024   -.0380269     2.46829 |
2025. | 2025    .0364317    1.188358 |
      |------------------------------|
2026. | 2026    .2721905   -1.213744 |
2027. | 2027   -.2343059   -.0308062 |
2028. | 2028     .724118    .6121467 |
2029. | 2029   -1.847459   -.7972555 |
2030. | 2030   -1.879002    1.500434 |
      |------------------------------|
2031. | 2031    1.320718     2.30741 |
2032. | 2032   -.9429566   -.3930312 |
2033. | 2033   -.9097853   -.0007516 |
2034. | 2034   -.6256234    1.480956 |
2035. | 2035    .7972568   -.8330655 |
      |------------------------------|
2036. | 2036    1.666545   -1.173977 |
2037. | 2037    .6049656    .0545758 |
2038. | 2038    .5238131    .5178891 |
2039. | 2039    1.307305    -1.02338 |
2040. | 2040   -.3397392   -1.268385 |
      |------------------------------|
2041. | 2041    .7565389    .1082964 |
2042. | 2042   -1.554834    1.504607 |
2043. | 2043   -.3195015   -.7288914 |
2044. | 2044    1.024942    1.712014 |
2045. | 2045    1.513537    .3594625 |
      |------------------------------|
2046. | 2046   -.3645658   -.3569996 |
2047. | 2047    -1.24856    .9602242 |
2048. | 2048   -1.054941     -.07545 |
2049. | 2049     .734643    .6388298 |
2050. | 2050    .6258816   -.6753429 |
      |------------------------------|
2051. | 2051   -.4804935   -.2822186 |
2052. | 2052   -.0788388    -2.32924 |
2053. | 2053    1.103353   -.1224534 |
2054. | 2054    -.547932    2.032697 |
2055. | 2055   -.8178571    .6173466 |
      |------------------------------|
2056. | 2056    1.632149   -.1707972 |
2057. | 2057    .2263754     .659539 |
2058. | 2058    1.233073    1.895874 |
2059. | 2059   -1.594067    .7523361 |
2060. | 2060    .7231357    .7805655 |
      |------------------------------|
2061. | 2061    -.655525    1.639904 |
2062. | 2062   -.5090537   -1.139311 |
2063. | 2063    .6305965   -.1960524 |
2064. | 2064   -.1018436   -.0819321 |
2065. | 2065    .9076929    .7032567 |
      |------------------------------|
2066. | 2066   -.6891765   -.0784094 |
2067. | 2067    .9994456     1.80445 |
2068. | 2068   -.3427288   -1.781236 |
2069. | 2069   -.3947626    .6334608 |
2070. | 2070    .8877799   -.6038103 |
      |------------------------------|
2071. | 2071   -.5029444   -1.336315 |
2072. | 2072     .441382   -.3637321 |
2073. | 2073   -.5889087     1.26252 |
2074. | 2074    .8393763   -.3770099 |
2075. | 2075    .1706174    -.607671 |
      |------------------------------|
2076. | 2076    .7029657    .9244176 |
2077. | 2077     .712801    .8573627 |
2078. | 2078   -.9345229    .5101753 |
2079. | 2079   -1.031144    1.040574 |
2080. | 2080    .0095586   -.8065991 |
      |------------------------------|
2081. | 2081    .2297745   -.7616401 |
2082. | 2082   -.3380646    1.343561 |
2083. | 2083   -1.583624    .1566727 |
2084. | 2084    .7754033   -.3330013 |
2085. | 2085   -.4961466   -.3234007 |
      |------------------------------|
2086. | 2086   -2.657354   -.0610135 |
2087. | 2087    .7774931   -.3741917 |
2088. | 2088   -.7996839   -.8534525 |
2089. | 2089   -.5148752   -.1758598 |
2090. | 2090    -1.16843   -.5059785 |
      |------------------------------|
2091. | 2091   -.0557259    .3414558 |
2092. | 2092    .3691422   -1.799058 |
2093. | 2093   -1.822461    -.206776 |
2094. | 2094    .0290947   -.8215114 |
2095. | 2095   -.0888668   -.9141381 |
      |------------------------------|
2096. | 2096    .2546018    .9341225 |
2097. | 2097    .2062483   -1.631143 |
2098. | 2098    .6894096    .7043626 |
2099. | 2099   -.9677927   -.9415797 |
2100. | 2100    2.885228    .7368641 |
      |------------------------------|
2101. | 2101   -.9076688    .0888779 |
2102. | 2102   -1.337615   -.9442956 |
2103. | 2103    .6386184     .150305 |
2104. | 2104   -.8956946    1.140284 |
2105. | 2105    .2844561   -.6425686 |
      |------------------------------|
2106. | 2106    .7796535    1.392833 |
2107. | 2107    1.305725   -.1436341 |
2108. | 2108   -1.225087   -1.653715 |
2109. | 2109     .716106    .3971304 |
2110. | 2110    .8040836    .5778515 |
      |------------------------------|
2111. | 2111   -1.665014   -.0394607 |
2112. | 2112   -.4258116   -.2595038 |
2113. | 2113   -.2546454   -.2893018 |
2114. | 2114   -1.730938    .5519419 |
2115. | 2115   -1.765708   -.3474248 |
      |------------------------------|
2116. | 2116    .4540189   -.8327308 |
2117. | 2117     .445001   -.1982327 |
2118. | 2118    1.162488    .1969037 |
2119. | 2119    1.507969    .8165661 |
2120. | 2120   -.1351223   -.9901804 |
      |------------------------------|
2121. | 2121   -.5477073    .7180997 |
2122. | 2122    .7094039    .8434479 |
2123. | 2123    .6829573    -.213308 |
2124. | 2124    .3101445   -.5990745 |
2125. | 2125    .2576289   -.6022968 |
      |------------------------------|
2126. | 2126    .8334412    .0463456 |
2127. | 2127   -1.340304   -.5876894 |
2128. | 2128    .1771169   -.5242163 |
2129. | 2129   -.3901962   -.9309554 |
2130. | 2130   -1.164521    2.477417 |
      |------------------------------|
2131. | 2131    1.026025    .6179355 |
2132. | 2132    .0896879    .7855396 |
2133. | 2133    .5318295    1.030363 |
2134. | 2134    .7644045    .0664883 |
2135. | 2135    .5886674    .2995303 |
      |------------------------------|
2136. | 2136   -.1615519    .4633586 |
2137. | 2137    .6078131     .437425 |
2138. | 2138   -1.313879     1.09189 |
2139. | 2139    .6225482   -.1965097 |
2140. | 2140    .9917158   -.4253875 |
      |------------------------------|
2141. | 2141     .778953    1.587396 |
2142. | 2142   -.1383306   -1.084754 |
2143. | 2143   -.6392772   -.8345901 |
2144. | 2144   -.2192726   -.4517742 |
2145. | 2145     .392268   -2.001278 |
      |------------------------------|
2146. | 2146   -1.455625    .5304043 |
2147. | 2147   -.2172486    .2153261 |
2148. | 2148   -.5015463   -.5210806 |
2149. | 2149   -.0295551    .6903276 |
2150. | 2150   -.2136513     1.33426 |
      |------------------------------|
2151. | 2151    .0905234    .3187401 |
2152. | 2152   -.4275637    .5595452 |
2153. | 2153    .8502192    .4908974 |
2154. | 2154    .1748569    -1.30514 |
2155. | 2155   -.7397205    .2021181 |
      |------------------------------|
2156. | 2156    1.839417    .3786069 |
2157. | 2157   -.4127475   -.7029831 |
2158. | 2158    1.262012    .8979003 |
2159. | 2159    .8775436   -.3922725 |
2160. | 2160    2.631368    .2927257 |
      |------------------------------|
2161. | 2161    .4463753    .7942855 |
2162. | 2162   -.9542186    .8108623 |
2163. | 2163    .9271038    .7017759 |
2164. | 2164    .9197674    .9490755 |
2165. | 2165    .2722351   -1.681484 |
      |------------------------------|
2166. | 2166   -.5726656    .5896526 |
2167. | 2167    .5856461    1.830679 |
2168. | 2168   -.9370111   -1.768178 |
2169. | 2169   -.2170401   -.2927329 |
2170. | 2170    1.329803     .407907 |
      |------------------------------|
2171. | 2171   -.4183936   -1.308731 |
2172. | 2172    .2643579    1.365373 |
2173. | 2173     1.09942    .2462164 |
2174. | 2174    .8038431   -1.332826 |
2175. | 2175   -.8877705   -.6067727 |
      |------------------------------|
2176. | 2176   -.5503069   -2.435162 |
2177. | 2177   -1.133858    1.680635 |
2178. | 2178   -.4800086    .8199027 |
2179. | 2179    .1628087     .042254 |
2180. | 2180   -1.400843   -1.996404 |
      |------------------------------|
2181. | 2181    .9106485   -.9284825 |
2182. | 2182    1.200861   -1.036218 |
2183. | 2183    .3084378   -2.375904 |
2184. | 2184    -.883666    .3818008 |
2185. | 2185    .2568329   -1.301854 |
      |------------------------------|
2186. | 2186    .5774639   -.8786205 |
2187. | 2187    1.648778   -.5670923 |
2188. | 2188    .6423522   -.5109252 |
2189. | 2189    .9086859    1.609963 |
2190. | 2190   -1.611569   -.3218978 |
      |------------------------------|
2191. | 2191   -.0550252   -.3821144 |
2192. | 2192    1.124135    .7802933 |
2193. | 2193   -.9073619    .4686922 |
2194. | 2194   -.5183232   -.1672342 |
2195. | 2195   -.3373646   -.9884892 |
      |------------------------------|
2196. | 2196   -.5970072    1.816624 |
2197. | 2197   -.0539629   -.7174526 |
2198. | 2198   -2.097478   -.1312262 |
2199. | 2199   -1.816259     .148966 |
2200. | 2200    .5335116   -.1766333 |
      |------------------------------|
2201. | 2201   -1.098283    .0306333 |
2202. | 2202   -1.046392   -.5659087 |
2203. | 2203    .7180031   -.1406461 |
2204. | 2204    .7301599    1.088387 |
2205. | 2205    1.252581    -.763622 |
      |------------------------------|
2206. | 2206    .8082328    1.743593 |
2207. | 2207    -1.94515     .493996 |
2208. | 2208   -1.349003   -.8384823 |
2209. | 2209   -1.515874    1.599254 |
2210. | 2210    .8902257   -1.644016 |
      |------------------------------|
2211. | 2211   -1.219239   -.1654169 |
2212. | 2212   -.5124767   -.2735581 |
2213. | 2213    -.227095    .3215902 |
2214. | 2214     -1.4281    1.304007 |
2215. | 2215     2.26113   -1.948437 |
      |------------------------------|
2216. | 2216    1.351666   -.1705655 |
2217. | 2217    .3302576    .2139973 |
2218. | 2218    .6845033    .3172791 |
2219. | 2219    .5575488    .9396152 |
2220. | 2220   -1.609502   -1.082608 |
      |------------------------------|
2221. | 2221   -.4145925    .4898925 |
2222. | 2222   -.3429177    1.463681 |
2223. | 2223   -2.377929    .4713124 |
2224. | 2224    .3693061    .8920987 |
2225. | 2225   -.1039843     .048506 |
      |------------------------------|
2226. | 2226   -1.176097   -1.737583 |
2227. | 2227    .0858012    .2054548 |
2228. | 2228   -2.066293    -.816729 |
2229. | 2229    .9737514    .6374021 |
